basin,model,dp,dt,annual,freshet,maxmon,minmon,pct_annual,pct_freshet,pct_maxmon,pct_minmon
SHA,Physics (noah),-0.2,0.0,3026.7032,1044.9906,518.2591,73.8085,-34.5671,-34.773,-32.3082,-32.6453
BND,Physics (noah),-0.2,0.0,4016.5432,1337.2675,732.6868,79.686,-36.2265,-35.9031,-34.3859,-33.6504
ORO,Physics (noah),-0.2,0.0,2423.7375,829.0578,469.8278,35.6866,-35.1153,-35.4319,-33.0067,-33.678
YRS,Physics (noah),-0.2,0.0,1475.7387,610.4462,242.8043,28.0982,-31.7253,-30.8724,-28.4485,-31.4067
FOL,Physics (noah),-0.2,0.0,1601.846,659.4184,288.5645,24.0226,-35.3281,-34.8856,-33.0725,-35.2722
MKM,Physics (noah),-0.2,0.0,452.0347,245.4453,89.1265,6.8483,-35.8832,-34.3563,-29.4769,-38.6793
NHG,Physics (noah),-0.2,0.0,84.3025,27.2087,18.6615,0.8877,-43.0706,-43.0883,-43.7083,-41.9263
NML,Physics (noah),-0.2,0.0,688.3578,428.7205,157.7461,11.611,-35.5294,-34.0566,-28.9011,-32.56
TLG,Physics (noah),-0.2,0.0,1028.3782,677.3047,241.0116,10.7472,-35.6493,-34.0839,-28.8803,-40.1653
MRC,Physics (noah),-0.2,0.0,599.6238,374.6261,143.8439,6.613,-36.5065,-34.9391,-30.077,-38.2512
MIL,Physics (noah),-0.2,0.0,877.8432,603.6164,200.9672,12.1939,-37.5209,-37.129,-38.1701,-38.6623
PNF,Physics (noah),-0.2,0.0,756.7565,549.1155,199.7021,12.5504,-37.6487,-37.1183,-38.1032,-32.8417
TRM,Physics (noah),-0.2,0.0,199.5948,117.009,43.1965,2.9421,-40.7703,-41.3161,-38.2877,-40.6991
SCC,Physics (noah),-0.2,0.0,206.3544,96.1317,36.2636,4.2039,-36.6692,-35.7072,-33.6078,-35.0846
ISB,Physics (noah),-0.2,0.0,616.3895,365.8034,121.775,12.5244,-39.387,-39.9128,-37.458,-37.8917
SHA,Physics (noah),-0.2,0.5,3001.4353,1001.3103,521.8743,71.0631,-35.1134,-37.4994,-31.836,-35.1506
BND,Physics (noah),-0.2,0.5,3979.0135,1281.8652,735.6421,76.5407,-36.8223,-38.5586,-34.1212,-36.2693
ORO,Physics (noah),-0.2,0.5,2405.0207,776.2806,477.7432,33.3885,-35.6163,-39.5423,-31.878,-37.9489
YRS,Physics (noah),-0.2,0.5,1465.8734,568.5029,254.9774,26.7188,-32.1817,-35.6221,-24.8613,-34.774
FOL,Physics (noah),-0.2,0.5,1587.8837,616.5206,297.7237,22.2873,-35.8918,-39.1216,-30.9482,-39.9479
MKM,Physics (noah),-0.2,0.5,447.7398,230.5455,85.697,6.1088,-36.4924,-38.3412,-32.1906,-45.3013
NHG,Physics (noah),-0.2,0.5,83.1564,26.6764,18.3947,0.8714,-43.8446,-44.2017,-44.5131,-42.9915
NML,Physics (noah),-0.2,0.5,681.2115,404.7798,154.0155,10.2654,-36.1987,-37.7391,-30.5826,-40.3755
TLG,Physics (noah),-0.2,0.5,1016.6993,645.8498,244.9827,9.8478,-36.3802,-37.1451,-27.7084,-45.1728
MRC,Physics (noah),-0.2,0.5,593.025,354.8223,140.3082,6.1045,-37.2052,-38.3784,-31.7957,-42.9988
MIL,Physics (noah),-0.2,0.5,866.6823,580.3813,202.3378,10.9525,-38.3152,-39.5491,-37.7484,-44.9069
PNF,Physics (noah),-0.2,0.5,745.8462,527.6812,182.337,12.0232,-38.5476,-39.5728,-43.4855,-35.6628
TRM,Physics (noah),-0.2,0.5,196.9335,109.5835,41.2735,2.6825,-41.5601,-45.0402,-41.0351,-45.9311
SCC,Physics (noah),-0.2,0.5,204.5244,91.6004,36.3499,3.9962,-37.2309,-38.7378,-33.4497,-38.2909
ISB,Physics (noah),-0.2,0.5,608.0417,346.0507,115.7052,11.7113,-40.2078,-43.1574,-40.5753,-41.9238
SHA,Physics (noah),-0.2,1.0,2975.9502,964.3325,523.3844,68.8483,-35.6643,-39.8075,-31.6388,-37.1717
BND,Physics (noah),-0.2,1.0,3941.3208,1234.9098,736.0397,74.0067,-37.4208,-40.8092,-34.0856,-38.3792
ORO,Physics (noah),-0.2,1.0,2385.8119,734.605,481.7774,31.6488,-36.1305,-42.788,-31.3028,-41.1821
YRS,Physics (noah),-0.2,1.0,1455.9081,531.1229,263.983,25.6329,-32.6427,-39.8551,-22.2075,-37.425
FOL,Physics (noah),-0.2,1.0,1573.816,578.581,304.3968,20.9495,-36.4597,-42.8679,-29.4005,-43.5525
MKM,Physics (noah),-0.2,1.0,443.7157,214.8215,80.514,5.4903,-37.0631,-42.5465,-36.2918,-50.8389
NHG,Physics (noah),-0.2,1.0,82.0236,26.1865,18.1183,0.8561,-44.6096,-45.2263,-45.3467,-43.9923
NML,Physics (noah),-0.2,1.0,674.5358,378.2167,146.9594,9.119,-36.824,-41.8248,-33.7629,-47.0341
TLG,Physics (noah),-0.2,1.0,1005.5379,611.9421,244.7616,9.1394,-37.0786,-40.4451,-27.7736,-49.1164
MRC,Physics (noah),-0.2,1.0,586.6579,334.1077,134.3779,5.7008,-37.8794,-41.9759,-34.6785,-46.769
MIL,Physics (noah),-0.2,1.0,855.8415,555.2968,203.8346,9.9286,-39.0868,-42.1618,-37.2879,-50.0574
PNF,Physics (noah),-0.2,1.0,735.489,503.3825,174.6006,10.7268,-39.401,-42.3554,-45.8833,-42.6004
TRM,Physics (noah),-0.2,1.0,194.4995,102.5804,38.5264,2.4866,-42.2824,-48.5525,-44.9597,-49.8804
SCC,Physics (noah),-0.2,1.0,202.6111,87.5956,37.1427,3.8335,-37.8181,-41.4162,-31.9981,-40.8046
ISB,Physics (noah),-0.2,1.0,599.7706,326.6909,109.5649,11.0012,-41.0212,-46.3375,-43.7289,-45.4452
SHA,Physics (noah),-0.2,1.5,2950.3454,934.2446,522.8614,67.1089,-36.2178,-41.6856,-31.7071,-38.7591
BND,Physics (noah),-0.2,1.5,3903.585,1196.4225,733.9981,72.018,-38.02,-42.6539,-34.2685,-40.0351
ORO,Physics (noah),-0.2,1.5,2366.2253,702.7373,482.5391,30.3748,-36.6549,-45.2699,-31.1941,-43.5497
YRS,Physics (noah),-0.2,1.5,1445.6587,500.275,269.5888,24.6564,-33.1169,-43.3483,-20.5555,-39.8087
FOL,Physics (noah),-0.2,1.5,1559.7212,545.7868,308.8366,19.952,-37.0288,-46.1062,-28.3708,-46.2401
MKM,Physics (noah),-0.2,1.5,439.8951,198.7394,80.635,4.9868,-37.6051,-46.8477,-36.196,-55.3473
NHG,Physics (noah),-0.2,1.5,80.9006,25.7148,17.8498,0.8412,-45.3679,-46.2131,-46.1568,-44.9645
NML,Physics (noah),-0.2,1.5,668.1577,350.3518,137.3332,8.166,-37.4213,-46.1109,-38.1016,-52.5696
TLG,Physics (noah),-0.2,1.5,995.0577,576.2815,240.0948,8.5934,-37.7344,-43.9156,-29.1508,-52.1564
MRC,Physics (noah),-0.2,1.5,580.5499,312.5704,126.0427,5.386,-38.5262,-45.7162,-38.7303,-49.7081
MIL,Physics (noah),-0.2,1.5,845.4387,528.2183,202.2732,9.0933,-39.8272,-44.9822,-37.7683,-54.2591
PNF,Physics (noah),-0.2,1.5,725.3828,477.399,172.3356,9.6483,-40.2337,-45.3309,-46.5853,-48.3714
TRM,Physics (noah),-0.2,1.5,192.2435,95.222,37.4573,2.3266,-42.9518,-52.243,-46.4871,-53.1056
SCC,Physics (noah),-0.2,1.5,200.7215,84.1238,37.9402,3.701,-38.398,-43.7381,-30.5381,-42.8496
ISB,Physics (noah),-0.2,1.5,591.9062,308.2781,103.3742,10.4084,-41.7945,-49.362,-46.9083,-48.3846
SHA,Physics (noah),-0.2,2.0,2924.642,909.7583,521.1291,65.7312,-36.7735,-43.214,-31.9333,-40.0163
BND,Physics (noah),-0.2,2.0,3865.787,1164.6664,730.3362,70.4348,-38.6201,-44.176,-34.5964,-41.3533
ORO,Physics (noah),-0.2,2.0,2346.3263,678.057,481.4432,29.4165,-37.1876,-47.192,-31.3504,-45.3308
YRS,Physics (noah),-0.2,2.0,1435.1338,476.3769,271.6726,23.7875,-33.6038,-46.0546,-19.9414,-41.9298
FOL,Physics (noah),-0.2,2.0,1545.5017,518.3198,311.4169,19.2006,-37.6029,-48.8184,-27.7723,-48.2649
MKM,Physics (noah),-0.2,2.0,436.1322,183.2371,82.3213,4.5841,-38.1388,-50.9937,-34.8617,-58.9531
NHG,Physics (noah),-0.2,2.0,79.7937,25.2652,17.585,0.8272,-46.1154,-47.1535,-46.9555,-45.8843
NML,Physics (noah),-0.2,2.0,662.2471,322.7357,126.7785,7.4119,-37.9749,-50.3586,-42.8588,-56.9494
TLG,Physics (noah),-0.2,2.0,985.1188,538.4337,229.8204,8.1669,-38.3563,-47.599,-32.1826,-54.5309
MRC,Physics (noah),-0.2,2.0,574.8618,291.3445,116.0307,5.1453,-39.1285,-49.4025,-43.5971,-51.9556
MIL,Physics (noah),-0.2,2.0,835.3903,500.1583,197.744,8.4342,-40.5424,-47.9049,-39.1617,-57.5742
PNF,Physics (noah),-0.2,2.0,715.8685,449.8122,167.6006,8.7528,-41.0176,-48.49,-48.0529,-53.163
TRM,Physics (noah),-0.2,2.0,190.0465,88.1839,37.8179,2.2055,-43.6038,-55.7729,-45.9718,-55.5452
SCC,Physics (noah),-0.2,2.0,198.8083,80.9365,38.5197,3.5905,-38.9851,-45.8698,-29.4772,-44.5567
ISB,Physics (noah),-0.2,2.0,584.1661,290.3298,102.1689,9.9194,-42.5557,-52.3102,-47.5274,-50.8099
SHA,Physics (noah),-0.2,2.5,2898.9101,889.5376,518.6204,64.6119,-37.3298,-44.4761,-32.261,-41.0378
BND,Physics (noah),-0.2,2.5,3828.0658,1138.0149,725.8959,69.1454,-39.2191,-45.4535,-34.994,-42.427
ORO,Physics (noah),-0.2,2.5,2326.2476,658.9664,479.2129,28.6927,-37.7251,-48.6788,-31.6684,-46.676
YRS,Physics (noah),-0.2,2.5,1424.3927,458.0243,271.9226,23.1395,-34.1008,-48.1328,-19.8677,-43.5119
FOL,Physics (noah),-0.2,2.5,1531.2086,495.2294,312.4069,18.6183,-38.1799,-51.0985,-27.5427,-49.8339
MKM,Physics (noah),-0.2,2.5,432.5036,167.9619,85.6653,4.2638,-38.6535,-55.079,-32.2157,-61.8218
NHG,Physics (noah),-0.2,2.5,78.7124,24.8302,17.327,0.8137,-46.8456,-48.0634,-47.7337,-46.7624
NML,Physics (noah),-0.2,2.5,656.5816,295.4051,127.6231,6.8161,-38.5055,-54.5625,-42.4781,-60.4099
TLG,Physics (noah),-0.2,2.5,976.1807,499.569,214.0318,6.8316,-38.9156,-51.3813,-36.8417,-61.9651
MRC,Physics (noah),-0.2,2.5,569.4952,270.1124,115.1754,4.9689,-39.6968,-53.0898,-44.0129,-53.6027
MIL,Physics (noah),-0.2,2.5,825.7709,471.6833,190.6169,7.8982,-41.227,-50.8708,-41.3545,-60.2704
PNF,Physics (noah),-0.2,2.5,706.8897,422.4427,161.7592,8.0398,-41.7574,-51.6242,-49.8635,-56.9782
TRM,Physics (noah),-0.2,2.5,187.9277,81.9249,37.8758,2.1144,-44.2325,-58.9119,-45.8892,-57.3827
SCC,Physics (noah),-0.2,2.5,196.8751,78.3223,38.8147,3.5038,-39.5785,-47.6181,-28.9371,-45.8954
ISB,Physics (noah),-0.2,2.5,576.6005,273.5434,101.8899,9.5262,-43.2996,-55.0675,-47.6707,-52.7598
SHA,Physics (noah),-0.2,3.0,2873.1732,871.8279,515.9719,63.6514,-37.8862,-45.5816,-32.6069,-41.9143
BND,Physics (noah),-0.2,3.0,3790.4281,1114.7058,720.9474,68.0368,-39.8167,-46.5707,-35.4372,-43.35
ORO,Physics (noah),-0.2,3.0,2306.0725,644.2864,476.0689,28.1255,-38.2652,-49.8221,-32.1167,-47.73
YRS,Physics (noah),-0.2,3.0,1413.4836,444.3482,271.2119,22.6526,-34.6055,-49.6815,-20.0772,-44.7004
FOL,Physics (noah),-0.2,3.0,1516.8162,475.9152,312.1779,18.1613,-38.761,-53.0057,-27.5958,-51.0651
MKM,Physics (noah),-0.2,3.0,428.8321,154.4728,88.4657,4.0182,-39.1742,-58.6866,-29.9998,-64.0202
NHG,Physics (noah),-0.2,3.0,77.6385,24.3989,17.0761,0.8005,-47.5708,-48.9653,-48.4905,-47.631
NML,Physics (noah),-0.2,3.0,651.0981,270.5938,127.3498,6.3714,-39.0191,-58.3788,-42.6013,-62.9932
TLG,Physics (noah),-0.2,3.0,968.1195,460.0579,194.1547,5.8215,-39.42,-55.2266,-42.7072,-67.5891
MRC,Physics (noah),-0.2,3.0,564.2885,248.8807,115.1115,4.7882,-40.2481,-56.7771,-44.0439,-55.2903
MIL,Physics (noah),-0.2,3.0,816.5349,441.3928,180.8223,6.3042,-41.8844,-54.0257,-44.3679,-68.2884
PNF,Physics (noah),-0.2,3.0,698.2115,393.5371,153.1021,7.4587,-42.4724,-54.9343,-52.5467,-60.0878
TRM,Physics (noah),-0.2,3.0,185.9334,76.3807,37.4447,2.045,-44.8243,-61.6925,-46.505,-58.7809
